word_freq_free,word_freq_offer,num_links,num_exclamation_marks,message_length_words,sender_in_contacts,is_spam
0.02,0.04,0,2,137,1,0
0.0,0.13,0,2,90,1,0
1.8,4.12,4,6,10,0,1
0.4,0.16,2,3,173,1,0
2.32,0.84,5,7,62,1,1
3.44,0.56,5,4,122,0,1
4.9,1.6,2,7,157,0,1
0.04,0.03,0,0,156,0,0
0.19,0.14,1,1,5,1,0
0.01,0.02,0,0,5,1,0
2.11,3.93,2,6,62,0,1
3.96,5.2,9,4,57,1,1
0.04,0.0,1,2,57,1,0
0.52,0.34,1,1,172,1,0
0.18,0.1,0,1,120,0,0
0.0,0.01,0,0,122,1,0
0.07,0.0,1,1,167,1,0
0.16,0.0,0,1,132,1,0
0.09,0.01,0,1,208,1,0
4.99,2.36,2,6,98,0,1
0.07,0.85,1,1,190,1,0
0.0,1.11,0,0,36,1,0
2.37,1.65,2,9,35,0,1
0.49,0.01,0,0,126,1,0
0.25,0.01,0,0,121,1,0
0.02,0.15,0,1,149,0,0
1.46,2.95,6,4,71,0,1
2.2,1.62,6,3,96,0,1
